Ocean Optics Spectrometer Data
File: F1_LD.tsv
Date: 2024-01-15
Time: 14:30:25
Integration Time: 100 ms
Scans to Average: 10
Boxcar Width: 5
Dark Correction: Enabled
Non-linearity Correction: Disabled
Wavelength Correction: Enabled
Stray Light Correction: Disabled
Wavelength	Reflectance
278.0	15.2
278.5	15.8
279.0	16.3
279.5	16.9
280.0	17.4
280.5	18.1
281.0	18.7
281.5	19.3
282.0	19.9
282.5	20.5
283.0	21.2
283.5	21.8
284.0	22.4
284.5	23.1
285.0	23.7
285.5	24.3
286.0	24.9
286.5	25.6
287.0	26.2
287.5	26.8
288.0	27.4
288.5	28.1
289.0	28.7
289.5	29.3
290.0	29.9
290.5	30.6
291.0	31.2
291.5	31.8
292.0	32.4
292.5	33.1
293.0	33.7
293.5	34.3
294.0	34.9
294.5	35.6
295.0	36.2
295.5	36.8
296.0	37.4
296.5	38.1
297.0	38.7
297.5	39.3
298.0	39.9
298.5	40.6
299.0	41.2
299.5	41.8
300.0	42.4
300.5	43.1
301.0	43.7
301.5	44.3
302.0	44.9
302.5	45.6
303.0	46.2
303.5	46.8
304.0	47.4
304.5	48.1
305.0	48.7
305.5	49.3
306.0	49.9
306.5	50.6
307.0	51.2
307.5	51.8
308.0	52.4
308.5	53.1
309.0	53.7
309.5	54.3
310.0	54.9
310.5	55.6
311.0	56.2
311.5	56.8
312.0	57.4
312.5	58.1
313.0	58.7
313.5	59.3
314.0	59.9
314.5	60.6
315.0	61.2
315.5	61.8
316.0	62.4
316.5	63.1
317.0	63.7
317.5	64.3
318.0	64.9
318.5	65.6
319.0	66.2
319.5	66.8
320.0	67.4
320.5	68.1
321.0	68.7
321.5	69.3
322.0	69.9
322.5	70.6
323.0	71.2
323.5	71.8
324.0	72.4
324.5	73.1
325.0	73.7
325.5	74.3
326.0	74.9
326.5	75.6
327.0	76.2
327.5	76.8
328.0	77.4
328.5	78.1
329.0	78.7
329.5	79.3
330.0	79.9
330.5	80.6
331.0	81.2
331.5	81.8
332.0	82.4
332.5	83.1
333.0	83.7
333.5	84.3
334.0	84.9
334.5	85.6
335.0	86.2
335.5	86.8
336.0	87.4
336.5	88.1
337.0	88.7
337.5	89.3
338.0	89.9
338.5	90.6
339.0	91.2
339.5	91.8
340.0	92.4
340.5	93.1
341.0	93.7
341.5	94.3
342.0	94.9
342.5	95.6
343.0	96.2
343.5	96.8
344.0	97.4
344.5	98.1
345.0	98.7
345.5	99.3
346.0	99.9
346.5	100.0
347.0	100.0
347.5	100.0
348.0	100.0
348.5	100.0
349.0	100.0
349.5	100.0
350.0	100.0
350.5	100.0
351.0	100.0
351.5	100.0
352.0	100.0
352.5	100.0
353.0	100.0
353.5	100.0
354.0	100.0
354.5	100.0
355.0	100.0
355.5	100.0
