Ocean Optics Spectrometer Data
File: F2_LU.tsv
Date: 2024-01-15
Time: 16:20:33
Integration Time: 100 ms
Scans to Average: 10
Boxcar Width: 5
Dark Correction: Enabled
Non-linearity Correction: Disabled
Wavelength Correction: Enabled
Stray Light Correction: Disabled
Wavelength	Reflectance
278.0	18.5
278.5	19.2
279.0	19.8
279.5	20.5
280.0	21.1
280.5	21.8
281.0	22.4
281.5	23.1
282.0	23.7
282.5	24.4
283.0	25.0
283.5	25.7
284.0	26.3
284.5	27.0
285.0	27.6
285.5	28.3
286.0	28.9
286.5	29.6
287.0	30.2
287.5	30.9
288.0	31.5
288.5	32.2
289.0	32.8
289.5	33.5
290.0	34.1
290.5	34.8
291.0	35.4
291.5	36.1
292.0	36.7
292.5	37.4
293.0	38.0
293.5	38.7
294.0	39.3
294.5	40.0
295.0	40.6
295.5	41.3
296.0	41.9
296.5	42.6
297.0	43.2
297.5	43.9
298.0	44.5
298.5	45.2
299.0	45.8
299.5	46.5
300.0	47.1
300.5	47.8
301.0	48.4
301.5	49.1
302.0	49.7
302.5	50.4
303.0	51.0
303.5	51.7
304.0	52.3
304.5	53.0
305.0	53.6
305.5	54.3
306.0	54.9
306.5	55.6
307.0	56.2
307.5	56.9
308.0	57.5
308.5	58.2
309.0	58.8
309.5	59.5
310.0	60.1
310.5	60.8
311.0	61.4
311.5	62.1
312.0	62.7
312.5	63.4
313.0	64.0
313.5	64.7
314.0	65.3
314.5	66.0
315.0	66.6
315.5	67.3
316.0	67.9
316.5	68.6
317.0	69.2
317.5	69.9
318.0	70.5
318.5	71.2
319.0	71.8
319.5	72.5
320.0	73.1
320.5	73.8
321.0	74.4
321.5	75.1
322.0	75.7
322.5	76.4
323.0	77.0
323.5	77.7
324.0	78.3
324.5	79.0
325.0	79.6
325.5	80.3
326.0	80.9
326.5	81.6
327.0	82.2
327.5	82.9
328.0	83.5
328.5	84.2
329.0	84.8
329.5	85.5
330.0	86.1
330.5	86.8
331.0	87.4
331.5	88.1
332.0	88.7
332.5	89.4
333.0	90.0
333.5	90.7
334.0	91.3
334.5	92.0
335.0	92.6
335.5	93.3
336.0	93.9
336.5	94.6
337.0	95.2
337.5	95.9
338.0	96.5
338.5	97.2
339.0	97.8
339.5	98.5
340.0	99.1
340.5	99.8
341.0	100.0
341.5	100.0
342.0	100.0
342.5	100.0
343.0	100.0
343.5	100.0
344.0	100.0
344.5	100.0
345.0	100.0
345.5	100.0
346.0	100.0
346.5	100.0
347.0	100.0
347.5	100.0
348.0	100.0
348.5	100.0
349.0	100.0
349.5	100.0
350.0	100.0
350.5	100.0
351.0	100.0
351.5	100.0
352.0	100.0
352.5	100.0
353.0	100.0
353.5	100.0
354.0	100.0
354.5	100.0
355.0	100.0
355.5	100.0
356.0	100.0
356.5	100.0
357.0	100.0
357.5	100.0
358.0	100.0
358.5	100.0
359.0	100.0
359.5	100.0
360.0	100.0
360.5	100.0
361.0	100.0
361.5	100.0
362.0	100.0
362.5	100.0
363.0	100.0
363.5	100.0
364.0	100.0
364.5	100.0
365.0	100.0
365.5	100.0
366.0	100.0
366.5	100.0
367.0	100.0
367.5	100.0
368.0	100.0
368.5	100.0
369.0	100.0
369.5	100.0
370.0	100.0
370.5	100.0
371.0	100.0
371.5	100.0
372.0	100.0
372.5	100.0
373.0	100.0
373.5	100.0
374.0	100.0
374.5	100.0
375.0	100.0
375.5	100.0
376.0	100.0
376.5	100.0
377.0	100.0
377.5	100.0
378.0	100.0
378.5	100.0
379.0	100.0
379.5	100.0
380.0	100.0
380.5	100.0
381.0	100.0
381.5	100.0
382.0	100.0
382.5	100.0
383.0	100.0
383.5	100.0
384.0	100.0
384.5	100.0
385.0	100.0
385.5	100.0
386.0	100.0
386.5	100.0
387.0	100.0
387.5	100.0
388.0	100.0
388.5	100.0
389.0	100.0
389.5	100.0
390.0	100.0
390.5	100.0
391.0	100.0
391.5	100.0
392.0	100.0
392.5	100.0
393.0	100.0
393.5	100.0
394.0	100.0
394.5	100.0
395.0	100.0
395.5	100.0
396.0	100.0
396.5	100.0
397.0	100.0
397.5	100.0
398.0	100.0
398.5	100.0
399.0	100.0
399.5	100.0
400.0	100.0
400.5	100.0
401.0	100.0
401.5	100.0
402.0	100.0
402.5	100.0
403.0	100.0
403.5	100.0
404.0	100.0
404.5	100.0
405.0	100.0
405.5	100.0
406.0	100.0
406.5	100.0
407.0	100.0
407.5	100.0
408.0	100.0
408.5	100.0
409.0	100.0
409.5	100.0
410.0	100.0
410.5	100.0
411.0	100.0
411.5	100.0
412.0	100.0
412.5	100.0
413.0	100.0
413.5	100.0
414.0	100.0
414.5	100.0
415.0	100.0
415.5	100.0
416.0	100.0
416.5	100.0
417.0	100.0
417.5	100.0
418.0	100.0
418.5	100.0
419.0	100.0
419.5	100.0
420.0	100.0
420.5	100.0
421.0	100.0
421.5	100.0
422.0	100.0
422.5	100.0
423.0	100.0
423.5	100.0
424.0	100.0
424.5	100.0
425.0	100.0
425.5	100.0
426.0	100.0
426.5	100.0
427.0	100.0
427.5	100.0
428.0	100.0
428.5	100.0
429.0	100.0
429.5	100.0
430.0	100.0
430.5	100.0
431.0	100.0
431.5	100.0
432.0	100.0
432.5	100.0
433.0	100.0
433.5	100.0
434.0	100.0
434.5	100.0
435.0	100.0
435.5	100.0
436.0	100.0
436.5	100.0
437.0	100.0
437.5	100.0
438.0	100.0
438.5	100.0
439.0	100.0
439.5	100.0
440.0	100.0
440.5	100.0
441.0	100.0
441.5	100.0
442.0	100.0
442.5	100.0
443.0	100.0
443.5	100.0
444.0	100.0
444.5	100.0
445.0	100.0
445.5	100.0
446.0	100.0
446.5	100.0
447.0	100.0
447.5	100.0
448.0	100.0
448.5	100.0
449.0	100.0
449.5	100.0
450.0	100.0
450.5	100.0
451.0	100.0
451.5	100.0
452.0	100.0
452.5	100.0
453.0	100.0
453.5	100.0
454.0	100.0
454.5	100.0
455.0	100.0
455.5	100.0
456.0	100.0
456.5	100.0
457.0	100.0
457.5	100.0
458.0	100.0
458.5	100.0
459.0	100.0
459.5	100.0
460.0	100.0
460.5	100.0
461.0	100.0
461.5	100.0
462.0	100.0
462.5	100.0
463.0	100.0
463.5	100.0
464.0	100.0
464.5	100.0
465.0	100.0
465.5	100.0
466.0	100.0
466.5	100.0
467.0	100.0
467.5	100.0
468.0	100.0
468.5	100.0
469.0	100.0
469.5	100.0
470.0	100.0
470.5	100.0
471.0	100.0
471.5	100.0
472.0	100.0
472.5	100.0
473.0	100.0
473.5	100.0
474.0	100.0
474.5	100.0
475.0	100.0
475.5	100.0
476.0	100.0
476.5	100.0
477.0	100.0
477.5	100.0
478.0	100.0
478.5	100.0
479.0	100.0
479.5	100.0
480.0	100.0
480.5	100.0
481.0	100.0
481.5	100.0
482.0	100.0
482.5	100.0
483.0	100.0
483.5	100.0
484.0	100.0
484.5	100.0
485.0	100.0
485.5	100.0
486.0	100.0
486.5	100.0
487.0	100.0
487.5	100.0
488.0	100.0
488.5	100.0
489.0	100.0
489.5	100.0
490.0	100.0
490.5	100.0
491.0	100.0
491.5	100.0
492.0	100.0
492.5	100.0
493.0	100.0
493.5	100.0
494.0	100.0
494.5	100.0
495.0	100.0
495.5	100.0
496.0	100.0
496.5	100.0
497.0	100.0
497.5	100.0
498.0	100.0
498.5	100.0
499.0	100.0
499.5	100.0
500.0	100.0
500.5	100.0
501.0	100.0
501.5	100.0
502.0	100.0
502.5	100.0
503.0	100.0
503.5	100.0
504.0	100.0
504.5	100.0
505.0	100.0
505.5	100.0
506.0	100.0
506.5	100.0
507.0	100.0
507.5	100.0
