Ocean Optics Spectrometer Data
File: M1_T.tsv
Date: 2024-01-15
Time: 15:45:12
Integration Time: 100 ms
Scans to Average: 10
Boxcar Width: 5
Dark Correction: Enabled
Non-linearity Correction: Disabled
Wavelength Correction: Enabled
Stray Light Correction: Disabled
Wavelength	Reflectance
278.0	12.8
278.5	13.2
279.0	13.7
279.5	14.1
280.0	14.6
280.5	15.1
281.0	15.6
281.5	16.1
282.0	16.6
282.5	17.1
283.0	17.6
283.5	18.1
284.0	18.6
284.5	19.1
285.0	19.6
285.5	20.1
286.0	20.6
286.5	21.1
287.0	21.6
287.5	22.1
288.0	22.6
288.5	23.1
289.0	23.6
289.5	24.1
290.0	24.6
290.5	25.1
291.0	25.6
291.5	26.1
292.0	26.6
292.5	27.1
293.0	27.6
293.5	28.1
294.0	28.6
294.5	29.1
295.0	29.6
295.5	30.1
296.0	30.6
296.5	31.1
297.0	31.6
297.5	32.1
298.0	32.6
298.5	33.1
299.0	33.6
299.5	34.1
300.0	34.6
300.5	35.1
301.0	35.6
301.5	36.1
302.0	36.6
302.5	37.1
303.0	37.6
303.5	38.1
304.0	38.6
304.5	39.1
305.0	39.6
305.5	40.1
306.0	40.6
306.5	41.1
307.0	41.6
307.5	42.1
308.0	42.6
308.5	43.1
309.0	43.6
309.5	44.1
310.0	44.6
310.5	45.1
311.0	45.6
311.5	46.1
312.0	46.6
312.5	47.1
313.0	47.6
313.5	48.1
314.0	48.6
314.5	49.1
315.0	49.6
315.5	50.1
316.0	50.6
316.5	51.1
317.0	51.6
317.5	52.1
318.0	52.6
318.5	53.1
319.0	53.6
319.5	54.1
320.0	54.6
320.5	55.1
321.0	55.6
321.5	56.1
322.0	56.6
322.5	57.1
323.0	57.6
323.5	58.1
324.0	58.6
324.5	59.1
325.0	59.6
325.5	60.1
326.0	60.6
326.5	61.1
327.0	61.6
327.5	62.1
328.0	62.6
328.5	63.1
329.0	63.6
329.5	64.1
330.0	64.6
330.5	65.1
331.0	65.6
331.5	66.1
332.0	66.6
332.5	67.1
333.0	67.6
333.5	68.1
334.0	68.6
334.5	69.1
335.0	69.6
335.5	70.1
336.0	70.6
336.5	71.1
